Test Case,Our Metrics_Distance Metric,Our Metrics_Visibility Metric,Our Metrics_Legibility Metric,Our Metrics_Nominal Trajectory Metric,Distance + Visibility_Distance Metric,Distance + Visibility_Visibility Metric,Distance + Visibility_Legibility Metric,Distance + Visibility_Nominal Trajectory Metric,Legibility_Distance Metric,Legibility_Visibility Metric,Legibility_Legibility Metric,Legibility_Nominal Trajectory Metric,Nominal Trajectory_Distance Metric,Nominal Trajectory_Visibility Metric,Nominal Trajectory_Legibility Metric,Nominal Trajectory_Nominal Trajectory Metric,Speed Control_Distance Metric,Speed Control_Visibility Metric,Speed Control_Legibility Metric,Speed Control_Nominal Trajectory Metric
520,0.695 +/- 0.0,1.0 +/- 0.0,0.514831621761956 +/- 0.0,3.733227374174132 +/- 0.0,0.54 +/- 0.0,1.0 +/- 0.0,0.10110096841308391 +/- 0.0,0.5894093130188439 +/- 0.0,0.45 +/- 0.0,1.0 +/- 0.0,0.4196580044103322 +/- 0.0,3.64472082658082 +/- 0.0,0.52 +/- 0.0,1.0 +/- 0.0,0.12497387998895593 +/- 0.0,0.0 +/- 0.0,0.52 +/- 0.0,1.0 +/- 0.0,0.053229304090022245 +/- 0.0,1.0796106221178379 +/- 0.0
120,0.59 +/- 0.0,1.0 +/- 0.0,0.514831621761956 +/- 0.0,3.733227374174132 +/- 0.0,0.455 +/- 0.0,1.0 +/- 0.0,0.1011009529565714 +/- 0.0,0.5894096138344397 +/- 0.0,0.3 +/- 0.0,1.0 +/- 0.0,0.4196580044103322 +/- 0.0,3.64472082658082 +/- 0.0,0.43 +/- 0.0,1.0 +/- 0.0,0.12497387998895593 +/- 0.0,0.0 +/- 0.0,0.435 +/- 0.0,1.0 +/- 0.0,0.004781210185360041 +/- 0.0,2.4363427625449368 +/- 0.0
3001,0.94 +/- 0.0,1.0 +/- 0.0,0.4779869705429748 +/- 0.0,3.2181079809536173 +/- 0.0,0.845 +/- 0.0,1.0 +/- 0.0,0.11986873991152769 +/- 0.0,0.16396459608543465 +/- 0.0,0.955 +/- 0.0,1.0 +/- 0.0,0.4196580044103322 +/- 0.0,3.64472082658082 +/- 0.0,0.82 +/- 0.0,1.0 +/- 0.0,0.12497387998895593 +/- 0.0,0.0 +/- 0.0,0.82 +/- 0.0,1.0 +/- 0.0,0.12497387998895593 +/- 0.0,2.3134018016896947e-14 +/- 0.0
3002,0.0 +/- 0.0,1.0 +/- 0.0,0.279182483999152 +/- 0.0,1.7692082236390647 +/- 0.0,0.0 +/- 0.0,1.0 +/- 0.0,0.12040575677495335 +/- 0.0,0.17733197676805543 +/- 0.0,0.0 +/- 0.0,0.98 +/- 0.0,0.4196580044103322 +/- 0.0,3.64472082658082 +/- 0.0,0.0 +/- 0.0,1.0 +/- 0.0,0.12497387998895593 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,1.0 +/- 0.0,0.12497387998895593 +/- 0.0,2.3134018016896947e-14 +/- 0.0
3002,0.0 +/- 0.0,1.0 +/- 0.0,0.279182483999152 +/- 0.0,1.7692082236390647 +/- 0.0,0.0 +/- 0.0,1.0 +/- 0.0,0.12040575677495335 +/- 0.0,0.17733197676805543 +/- 0.0,0.0 +/- 0.0,0.98 +/- 0.0,0.4196580044103322 +/- 0.0,3.64472082658082 +/- 0.0,0.0 +/- 0.0,1.0 +/- 0.0,0.12497387998895593 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,1.0 +/- 0.0,0.12497387998895593 +/- 0.0,2.3134018016896947e-14 +/- 0.0
3002,0.0 +/- 0.0,1.0 +/- 0.0,0.4856070696346062 +/- 0.0,2.438849708344681 +/- 0.0,0.0 +/- 0.0,1.0 +/- 0.0,0.10029253491602608 +/- 0.0,1.4164498071319547 +/- 0.0,0.0 +/- 0.0,0.985 +/- 0.0,0.4196580044103322 +/- 0.0,3.64472082658082 +/- 0.0,0.0 +/- 0.0,1.0 +/- 0.0,0.12497387998895593 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,1.0 +/- 0.0,0.12255870115781953 +/- 0.0,0.08094655051796712 +/- 0.0
520,0.98 +/- 0.0,1.0 +/- 0.0,0.48797782355857233 +/- 0.0,8.103631706329523 +/- 0.0,0.925 +/- 0.0,1.0 +/- 0.0,-0.015702905898655972 +/- 0.0,2.676528523649447 +/- 0.0,0.655 +/- 0.0,1.0 +/- 0.0,0.4636493246327661 +/- 0.0,6.355135693106499 +/- 0.0,0.835 +/- 0.0,1.0 +/- 0.0,0.012127524199010531 +/- 0.0,0.0 +/- 0.0,0.835 +/- 0.0,1.0 +/- 0.0,0.0121172801429692 +/- 0.0,0.0010173844135645499 +/- 0.0
3002,0.0 +/- 0.0,1.0 +/- 0.0,0.3222043662177547 +/- 0.0,4.84871205497665 +/- 0.0,0.0 +/- 0.0,1.0 +/- 0.0,0.003947330951180272 +/- 0.0,1.858969573085691 +/- 0.0,0.0 +/- 0.0,1.0 +/- 0.0,0.4636493246327661 +/- 0.0,6.355135693106499 +/- 0.0,0.0 +/- 0.0,1.0 +/- 0.0,0.012127524199010531 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,1.0 +/- 0.0,-0.002737011610190576 +/- 0.0,6.3111752637880585 +/- 0.0
520,0.965 +/- 0.0,0.77 +/- 0.0,0.3974669378950725 +/- 0.0,0.0 +/- 0.0,0.955 +/- 0.0,0.85 +/- 0.0,0.40601475840026735 +/- 0.0,6.567104151926692 +/- 0.0,0.965 +/- 0.0,0.73 +/- 0.0,0.47092860055251795 +/- 0.0,2.1952056652025176 +/- 0.0,0.965 +/- 0.0,0.77 +/- 0.0,0.3974669378950725 +/- 0.0,0.0 +/- 0.0,0.965 +/- 0.0,0.77 +/- 0.0,0.39746693789507237 +/- 0.0,3.7202274948238976e-14 +/- 0.0
120,0.44 +/- 0.0,1.0 +/- 0.0,0.1247047277669312 +/- 0.0,0.07410729258902105 +/- 0.0,0.455 +/- 0.0,1.0 +/- 0.0,0.1011009529565714 +/- 0.0,0.5894096138344397 +/- 0.0,0.3 +/- 0.0,1.0 +/- 0.0,0.4196580044103322 +/- 0.0,3.64472082658082 +/- 0.0,0.43 +/- 0.0,1.0 +/- 0.0,0.12497387998895593 +/- 0.0,0.0 +/- 0.0,0.435 +/- 0.0,1.0 +/- 0.0,0.004781210185360041 +/- 0.0,2.4363427625449368 +/- 0.0
3002,0.0 +/- 0.0,1.0 +/- 0.0,0.12497490355485552 +/- 0.0,6.156081196103399e-05 +/- 0.0,0.0 +/- 0.0,1.0 +/- 0.0,0.10029253491602608 +/- 0.0,1.4164498071319547 +/- 0.0,0.0 +/- 0.0,0.985 +/- 0.0,0.4196580044103322 +/- 0.0,3.64472082658082 +/- 0.0,0.0 +/- 0.0,1.0 +/- 0.0,0.12497387998895593 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,1.0 +/- 0.0,0.12255870115781953 +/- 0.0,0.08094655051796712 +/- 0.0
