Test Case,Our Metrics_Distance Metric,Our Metrics_Visibility Metric,Our Metrics_Legibility Metric,Our Metrics_Nominal Trajectory Metric,Distance + Visibility_Distance Metric,Distance + Visibility_Visibility Metric,Distance + Visibility_Legibility Metric,Distance + Visibility_Nominal Trajectory Metric,Legibility_Distance Metric,Legibility_Visibility Metric,Legibility_Legibility Metric,Legibility_Nominal Trajectory Metric,Nominal Trajectory_Distance Metric,Nominal Trajectory_Visibility Metric,Nominal Trajectory_Legibility Metric,Nominal Trajectory_Nominal Trajectory Metric,Speed Control_Distance Metric,Speed Control_Visibility Metric,Speed Control_Legibility Metric,Speed Control_Nominal Trajectory Metric
124,1.0,0.73,0.588148780893775,0.75256548897198,0.41,0.99,0.3804179500070856,15.281072430175401,1.0,0.89,0.6993804510788701,2.278828785664521,1.0,0.67,0.5733008265496494,0.0,0.94,0.26,0.5733008265496494,2.873159374375861e-14
144,1.0,1.0,0.6917090447375017,3.4409134646546518,0.44,0.995,0.3440366467279345,16.193451367894298,1.0,1.0,0.6993804510788701,2.278828785664521,1.0,0.75,0.5733008265496494,0.0,0.99,0.245,0.5733008265496494,2.873159374375861e-14
204,1.0,1.0,0.591992361220321,0.8212113353524793,0.425,1.0,0.36079760960566515,16.85874786152171,1.0,1.0,0.6993804510788701,2.278828785664521,1.0,0.905,0.5733008265496494,0.0,1.0,0.61,0.5733008265496494,2.873159374375861e-14
240,1.0,0.77,0.5850751539874658,0.46485714285622,0.325,0.97,0.3424849935140061,16.766934470524475,1.0,1.0,0.6993804510788701,2.278828785664521,1.0,0.74,0.5733008265496494,0.0,1.0,0.305,0.5733008265496494,2.873159374375861e-14
120,0.995,0.825,0.5960168718989299,0.7791281211159248,0.985,0.985,0.2282821983823483,24.231768067891426,1.0,1.0,0.6993804510788701,2.278828785664521,1.0,0.78,0.5733008265496494,0.0,0.995,0.48,0.5733008265496494,2.873159374375861e-14
124,1.0,0.73,0.588148780893775,0.75256548897198,0.96,0.985,0.2837822714715485,22.423705699605687,1.0,0.89,0.6993804510788701,2.278828785664521,1.0,0.67,0.5733008265496494,0.0,0.94,0.26,0.5733008265496494,2.873159374375861e-14
144,1.0,1.0,0.6917090447375017,3.4409134646546518,0.985,0.99,0.3019988273028865,24.410242154384832,1.0,1.0,0.6993804510788701,2.278828785664521,1.0,0.75,0.5733008265496494,0.0,0.99,0.245,0.5733008265496494,2.873159374375861e-14
204,1.0,1.0,0.591992361220321,0.8212113353524793,0.985,0.99,0.2514734793100881,23.936521378736966,1.0,1.0,0.6993804510788701,2.278828785664521,1.0,0.905,0.5733008265496494,0.0,1.0,0.61,0.5733008265496494,2.873159374375861e-14
240,1.0,0.77,0.5850751539874658,0.46485714285622,0.985,0.99,0.23884634985064052,23.97452134107501,1.0,1.0,0.6993804510788701,2.278828785664521,1.0,0.74,0.5733008265496494,0.0,1.0,0.305,0.5733008265496494,2.873159374375861e-14
120,0.58,1.0,0.8669523233061706,0.5708543785686873,0.985,1.0,0.28392817879492704,17.657352733282952,0.575,1.0,0.9236480306384777,1.3698924014561704,0.585,1.0,0.840788009883165,0.0,0.59,0.455,0.9361323368945752,1.0875355355043128
124,0.59,1.0,0.8707854482648937,0.6416545057898392,0.975,0.99,0.3084663374892343,16.670408914383547,0.58,1.0,0.9236480306384777,1.3698924014561704,0.605,1.0,0.840788009883165,0.0,0.605,0.355,0.95747330518905,1.6260924376218167
144,0.715,1.0,0.8706801419021045,0.6198986976175539,0.985,1.0,0.29907215424531475,17.900160124359356,0.775,1.0,0.9236480306384777,1.3698924014561704,0.71,1.0,0.840788009883165,0.0,1.0,0.01,0.9435213070036577,1.261190214227154
